Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,193,0,49,81.5728363575196,25.476326999523735,643.4231210005237,105935.0,1.079526338961878,0.0,49,68,81,100,180,280,400,450,640,640,640
GET,GET /alerts,108,0,71,107.29565847222383,49.56450600002427,566.7161700002907,366230.0,0.604087277761051,0.0,72,86,110,130,190,270,480,490,570,570,570
GET,GET /api/ai/history/sessions,226,0,30,52.90751470357037,14.278493999881903,465.27193399924727,47.0,1.2641085627221993,0.0,30,38,49,62,100,180,360,430,470,470,470
GET,GET /api/elasticsearch/alerts/cases,434,0,38,75.41230282720177,19.23722799983807,1059.212366999418,6413.0,2.427535912484223,0.0,38,51,69,93,160,310,450,560,1100,1100,1100
GET,GET /api/notifications,335,0,46,79.40470546863212,21.770121000372455,767.8523630002019,197.25671641791044,1.87378924120326,0.0,46,67,84,94,150,220,470,660,770,770,770
GET,GET /api/notifications/unread-count,1136,0,46,83.05759863555303,20.536160999654385,864.9979519996123,30.0,6.354103217931055,0.0,46,64,79,95,170,280,490,590,850,860,860
GET,GET /api/observables,315,0,53,93.10847306665343,26.454690000718983,1007.9192350003723,18879.0,1.7619212268030653,0.0,53,72,87,110,200,310,480,570,1000,1000,1000
GET,GET /api/playbooks,346,0,62,101.58822473700596,32.133646000147564,850.162009000087,49388.0,1.9353166491233669,0.0,62,78,96,120,190,370,530,680,850,850,850
GET,GET /cases,130,0,52,80.01591355384265,28.828131999944162,1116.6514809992805,123414.0,0.727142093601265,0.0,52,64,79,110,140,190,340,490,1100,1100,1100
POST,POST /api/auth/login,50,0,340,437.62981379994017,266.5422350000881,859.8224269999264,174.46,0.27967003600048657,0.0,340,510,550,620,680,800,860,860,860,860,860
,Aggregated,3273,0,49,88.52239196180614,14.278493999881903,1116.6514809992805,31157.95783684693,18.307200556591848,0.0,49,67,84,100,190,320,510,630,860,1100,1100
